geo,country,year,house_price_index,inflation,earning,price_to_income_ratio,real_hpi,price_to_real_income_ratio,hpi_growth,income_growth,region
ES,Spain,2015,100.0,0.543942730170218,20844.88,0.0,99.459,1.01,3.584006629376413,3.3486750023674405,South Europe
FI,Finland,2015,100.0,1.61672204778018,29918.29,0.0,98.409,1.02,0.0,0.934200769329907,North Europe
FR,France,2015,100.0,1.13800000000001,26958.75,0.0,98.87480472226066,1.01,-1.3417521704814472,1.4308202958335459,West Europe
HU,Hungary,2015,100.0,2.77914816641999,6703.57,0.01,97.29599999999999,1.03,13.083795092163285,3.4753844301542713,East Europe
IE,Ireland,2015,100.0,7.80860039313559,32344.52,0.0,92.75697823303456,1.08,11.457868925546144,2.073790236431594,
IS,Iceland,2015,100.0,6.05466057205884,37027.37,0.0,94.29100000000001,1.06,8.236822166901181,12.404845257046837,North Europe
IT,Italy,2015,100.0,0.931598655591108,21051.62,0.0,99.077,1.01,-3.8461538461538436,0.5781484629449274,South Europe
LT,Lithuania,2015,100.0,0.0640409862311809,6651.85,0.02,99.936,1.0,3.659168653467404,5.845839028589528,
LU,Luxembourg,2015,100.0,0.185279210425517,38630.79,0.0,99.81506343857527,1.0,5.396290050590213,0.48723476646754804,
LV,Latvia,2015,100.0,0.00300009000270019,6814.57,0.01,99.99700000000001,1.0,-3.362968689601864,8.783527075478027,
MT,Malta,2015,100.0,4.22011821696327,16337.95,0.01,95.9507643157937,1.04,5.808909110147065,2.048407245471595,
NL,Netherlands,2015,100.0,0.773943889068043,34551.5,0.0,99.232,1.01,3.5947373873407296,2.4541978451452007,West Europe
NO,Norway,2015,100.0,-2.85444455055762,44451.46,0.0,102.93831718533244,0.97,6.6780456582035574,-3.164236121625219,North Europe
PL,Poland,2015,100.0,0.974402988842332,8275.99,0.01,99.035,1.01,1.522842639593902,3.564183968054735,East Europe
PT,Portugal,2015,100.0,2.01938443019322,11535.88,0.01,98.02058751729189,1.02,3.0502885408079106,-1.0964722383929093,South Europe
SE,Sweden,2015,100.0,2.12185645741259,33389.85,0.0,97.92223082205967,1.02,13.122171945701355,-1.572459974389273,North Europe
SI,Slovenia,2015,100.0,1.00560707978267,12062.45,0.01,99.00440469706957,1.01,0.8064516129032251,0.6834399364971766,
AT,Austria,2016,108.53,1.848,30601.53,0.0,106.560757206818,1.02,8.529999999999994,7.282918959169327,West Europe
BE,Belgium,2016,102.64,1.92100000000001,27574.37,0.0,100.7054483374378,1.02,2.639999999999998,2.303144033874527,West Europe
BG,Bulgaria,2016,107.02,2.538,4689.05,0.02,104.3710624353898,1.03,7.020000000000004,8.063791295530255,East Europe
DE,Germany,2016,107.5,1.328,28986.32,0.0,106.09111005842414,1.01,7.499999999999996,2.0260317323995025,West Europe
EE,Estonia,2016,104.75,2.27,11454.71,0.01,102.42495355431701,1.02,4.75000000000001,7.673037913524738,
ES,Spain,2016,104.62,0.326999999999998,20827.52,0.01,104.27900764500086,1.0,4.620000000000002,-0.08328184187196275,South Europe
FI,Finland,2016,101.29,0.0870000000000033,30306.38,0.0,101.20195429975922,1.0,1.2900000000000134,1.2971663821695678,North Europe
